,datetime,ignore,imgPath,r0x1,r0y1,r0x2,r0y2,r0ticks,r1x1,r1y1,r1x2,r1y2,r1ticks,l0x1,l0y1,l0x2,l0y2,l1x1,l1y1,l1x2,l1y2,timestamp
46,2015-09-18 08:03:45,0.0,IMG_4715.JPG,689.0,280.0,240.0,312.0,6.0,722.0,774.0,713.0,80.0,8.0,635.0,528.0,375.0,523.0,511.0,650.0,510.0,379.0,1442556225.0
47,2015-09-18 08:03:47,0.0,IMG_4716.JPG,,,,,,,,,,,,,,,,,,,1442556227.0
48,2015-09-21 11:12:16,0.0,IMG_4765.JPG,,,,,,,,,,,,,,,,,,,1442826736.0
49,2015-09-21 11:17:44,0.0,IMG_4766.JPG,,,,,,,,,,,,,,,,,,,1442827064.0
50,2015-09-21 11:17:46,0.0,IMG_4767.JPG,,,,,,,,,,,,,,,,,,,1442827066.0
51,2015-09-21 11:17:49,0.0,IMG_4768.JPG,,,,,,,,,,,,,,,,,,,1442827069.0
52,2015-09-21 11:18:20,0.0,IMG_4769.JPG,,,,,,,,,,,,,,,,,,,1442827100.0
53,2015-09-21 11:18:22,0.0,IMG_4770.JPG,809.0,639.0,771.0,78.0,9.0,419.0,347.0,982.0,299.0,9.0,702.0,415.0,480.0,439.0,611.0,528.0,596.0,317.0,1442827102.0
54,2015-09-21 11:18:25,0.0,IMG_4771.JPG,776.0,555.0,769.0,44.0,8.0,404.0,246.0,971.0,228.0,9.0,683.0,359.0,461.0,373.0,593.0,476.0,584.0,252.0,1442827105.0
55,2015-09-21 11:18:57,0.0,IMG_4772.JPG,,,,,,,,,,,,,,,,,,,1442827137.0
56,2015-09-22 08:27:35,0.0,IMG_4773.JPG,,,,,,,,,,,,,,,,,,,1442903255.0
57,2015-09-22 08:27:56,0.0,IMG_4774.JPG,841.0,425.0,370.0,427.0,5.0,840.0,733.0,841.0,19.0,7.0,755.0,627.0,396.0,617.0,589.0,784.0,600.0,434.0,1442903276.0
58,2015-09-22 08:27:58,0.0,IMG_4775.JPG,864.0,386.0,370.0,388.0,5.0,838.0,701.0,847.0,191.0,5.0,387.0,583.0,753.0,584.0,583.0,758.0,586.0,406.0,1442903278.0
59,2015-09-22 21:02:18,0.0,IMG_4778.JPG,,,,,,,,,,,,,,,,,,,1442948538.0
60,2015-09-22 21:02:21,0.0,IMG_4779.JPG,,,,,,,,,,,,,,,,,,,1442948541.0
61,2015-09-22 21:02:42,0.0,IMG_4780.JPG,836.0,255.0,242.0,270.0,6.0,887.0,795.0,863.0,31.0,7.0,774.0,524.0,374.0,515.0,593.0,718.0,595.0,319.0,1442948562.0
62,2015-09-22 21:06:08,0.0,IMG_4781.JPG,,,,,,,,,,,,,,,,,,,1442948768.0
63,2015-09-22 21:06:15,0.0,IMG_4782.JPG,,,,,,,,,,,,,,,,,,,1442948775.0
64,2015-09-23 08:06:02,0.0,IMG_4783.JPG,1017.0,715.0,1062.0,41.0,7.0,1029.0,245.0,476.0,230.0,6.0,933.0,460.0,580.0,418.0,729.0,607.0,792.0,254.0,1442988362.0
65,2015-09-23 19:35:25,0.0,IMG_4786.JPG,853.0,768.0,831.0,212.0,6.0,438.0,347.0,835.0,306.0,5.0,811.0,488.0,480.0,511.0,655.0,329.0,669.0,657.0,1443029725.0
66,2015-09-23 22:05:55,0.0,IMG_4787.JPG,,,,,,,,,,,,,,,,,,,1443038755.0
67,2015-09-23 22:06:11,0.0,IMG_4788.JPG,901.0,572.0,857.0,95.0,5.0,593.0,326.0,1081.0,263.0,5.0,846.0,514.0,511.0,529.0,695.0,686.0,677.0,352.0,1443038771.0
68,2015-09-24 20:13:08,0.0,IMG_4792.JPG,,,,,,,,,,,,,,,,,,,1443118388.0
69,2015-09-24 20:13:14,0.0,IMG_4793.JPG,788.0,735.0,765.0,116.0,6.0,328.0,378.0,775.0,331.0,5.0,718.0,539.0,369.0,541.0,561.0,691.0,550.0,362.0,1443118394.0
70,2015-09-24 20:13:40,0.0,IMG_4794.JPG,976.0,270.0,344.0,282.0,6.0,960.0,741.0,955.0,88.0,6.0,872.0,521.0,451.0,528.0,682.0,713.0,677.0,306.0,1443118420.0
71,2015-09-24 20:14:12,0.0,IMG_4795.JPG,,,,,,,,,,,,,,,,,,,1443118452.0
72,2015-09-24 20:14:17,0.0,IMG_4796.JPG,,,,,,,,,,,,,,,,,,,1443118457.0
